Target_Location,Name,Cuisine,Rating,Cost_for_Two
Mathura,Radha Rani Bhojnalay & Fast Food,"North Indian, Fast Food",4.0,300.0
Mathura,Pahalwan Dhaba And Restaurant,"North Indian, Chinese",4.0,400.0
Mathura,Gorge Burger Centre,"Burger, Fast Food",4.0,200.0
Mathura,Silver Oaks Inn,"North Indian, Chinese",4.0,500.0
Mathura,Vrinda Sarovar,"North Indian, South Indian, Chinese, Salad, Beverages",4.0,1000.0
Mathura,Twist Of Chatkara,"North Indian, South Indian, Chinese, Fast Food",4.0,200.0
Mathura,Anna Ka Dukaan,"South Indian, Beverages",4.0,300.0
Mathura,Patties & Tea Corner Mba Wala,"North Indian, Chinese",4.0,100.0
Mathura,Papa Da Pizza,"North Indian, Chinese",4.0,300.0
Mathura,MK Maa Ki Rasoi,"North Indian, Chinese",4.0,300.0
Mathura,American Cafe,"North Indian, Rolls, Pizza, Chinese, Burger, Sandwich, Fast Food, Shake",4.0,500.0
Mathura,Kanchan Chat Palace And Confectioner,"North Indian, Chinese",4.0,150.0
Mathura,Maa Vaishnavi Food,"Chinese, South Indian, North Indian",4.0,350.0
Mathura,Rajput Family Restaurant,"North Indian, Chinese",4.0,350.0
Mathura,Hotel Gulmohar,"North Indian, Chinese, Salad, Fast Food, Beverages",4.0,1000.0
Mathura,Kanha Ki Rasoi,"North Indian, Chinese",4.0,200.0
Mathura,Bhagwan Family Dhaba,"North Indian, Chinese",4.0,350.0
Mathura,Queen's Kitchen @ Mathura,"Fast Food, Chinese, South Indian, Momos",4.0,200.0
Mathura,Miami Cafe,"North Indian, Chinese, Burger, Momos, Pizza, Fast Food, Shake, Beverages",4.0,350.0
Mathura,Neelkanth Vyanjan,"North Indian, Chinese",4.0,250.0
Mathura,Brijwasi Fast Food,"South Indian, Street Food, Fast Food",4.0,150.0
Mathura,Agrawals Restaurant & Banquets,"North Indian, Chinese",4.0,500.0
Mathura,Hotel Radhika Silver & Resturant,"North Indian, Biryani",4.0,200.0
Mathura,Kullad Cafe,"Tea, Shake, Beverages, North Indian, Chinese, Pizza, Fast Food, Street Food",4.0,450.0
Mathura,Baba Da Dhaba,"North Indian, Chinese",4.0,300.0
Mathura,Gobblers Rolls & Bowls,"North Indian, Chinese, Fast Food, Biryani, Rolls, Sandwich, Shake, Beverages",4.0,350.0
Mathura,The Love cafe,"Chinese, Fast Food, Street Food, Sandwich, Burger, Pizza, Momos, Beverages",4.0,200.0
Mathura,Wah Chinese,"North Indian, Chinese",4.0,200.0
Mathura,Da Pizza Hub,"Burger, Pizza, Fast Food, Pasta",4.0,250.0
Mathura,Hot Meal (Meal @50),"North Indian, Chinese",4.0,200.0
Mathura,Pizza Harrison,"Pizza, Burger, Pasta",4.0,450.0
Mathura,The Bridge,"North Indian, Chinese, Fast Food",4.0,500.0
Mathura,Murari Sweets And Namkeen,"Street Food, Mithai",4.0,150.0
Mathura,Chatore Fast Food & Pizza Point,"Street Food, Fast Food, North Indian, Chinese, Beverages, Rolls, Biryani",4.0,300.0
Mathura,Deepak Swadist Chicken And Fish Rasoi,"North Indian, Seafood, Mughlai",4.0,350.0
Mathura,Wow! CBSE The Cafe,"North Indian, Chinese, Momos, Fast Food, Street Food, Shake",4.0,350.0
Mathura,Banjara Hills,"Pizza, Sandwich, Fast Food, Bakery, Street Food",4.0,400.0
Mathura,Bhai Ji Bakers,"North Indian, Chinese",4.0,700.0
Mathura,Swarn Mahal Resturant & Banquet,"North Indian, Chinese",4.0,1000.0
Mathura,Radhey Radhey Mithai Wale,"Mithai, Bakery",4.0,350.0
Mathura,Agrawals Restaurant & Banquet,"North Indian, Chinese",4.0,400.0
Mathura,Indian Falooda Center,"Ice Cream, Shake, Pizza, Pasta, Fast Food",4.0,300.0
Mathura,Khana Khazana Ka Magic,"North Indian, Chinese",4.0,300.0
Mathura,Juicy Restaurant,"North Indian, Chinese",4.0,450.0
Mathura,Ma Ki Thali,"North Indian, Chinese",4.0,300.0
Mathura,The Burger Company,"Burger, Fast Food, Pizza, Momos, Beverages, Sandwich, Waffle, Shake",4.0,400.0
Mathura,Prasadam Restaurant,"North Indian, South Indian",4.0,500.0
Mathura,Saini Dhaba And Tea Stall,"Tea, North Indian, Street Food",4.0,500.0
Mathura,Shri Radhika Sweets,"Mithai, Street Food",4.0,200.0
Mathura,Jeetu Bhai Paranthe Wale,"North Indian, Chinese",4.0,200.0
Mathura,Ajay Hotel,"North Indian, Street Food, Chinese, Desserts",4.0,350.0
Mathura,Hot Cross Bun,"Chinese, Fast Food, Street Food",4.0,300.0
Mathura,Momo King,"North Indian, Chinese",4.0,250.0
Mathura,Momo Lover & Home Bakers,"North Indian, Chinese",4.0,550.0
Mathura,Guru Dev Family Restaurant,"North Indian, Chinese",4.0,300.0
Mathura,Shyam Ji Malai Chaap & Fast Food Center,"North Indian, Fast Food, South Indian, Chinese, Momos",4.0,350.0
Mathura,King & Queen Cafe Restro,"Pizza, Burger, Fast Food, Street Food, Shake, Beverages, Chinese, North Indian",4.0,400.0
Mathura,Hotel Shri Radha Rani Family Restaurent,"North Indian, Biryani, Chinese, Street Food",4.0,300.0
Mathura,Da Panjabi Cafe,"North Indian, Chinese, Wraps, Fast Food, Street Food, Momos, Shake, Beverages",4.0,450.0
Mathura,The Friends Zone Pizza,"Pizza, Fast Food",4.0,300.0
Mathura,Snacks Bar,"Street Food, Fast Food, Pizza, Burger",4.0,300.0
Mathura,Shri Krishan Balram Restaurant,"North Indian, South Indian, Chinese, Street Food",4.0,250.0
Mathura,Champaran Ahuna Family Restuarant,"North Indian, Biryani",4.0,350.0
Mathura,Umang Bhojnalay,"North Indian, Shake",4.0,350.0
Mathura,Burger House,"Burger, Pizza, Sandwich, Fast Food, Chinese, Street Food, Shake, Beverages",4.0,300.0
Mathura,Albaik,"Burger, Fast Food, Biryani",4.0,450.0
Mathura,Braj Food,"Chinese, Street Food",4.0,200.0
Mathura,Radha Rani Family Restaurant,"North Indian, Chinese",4.0,300.0
Mathura,Ayush Fast Food,"Fast Food, Chinese, Street Food",4.0,250.0
Mathura,UP 85 Food Cafe,"Sandwich, Fast Food, Beverages",4.0,300.0
Mathura,Shrijee Kachori Corner,"North Indian, Chinese",4.0,100.0
