Target_Location,Name,Cuisine,Rating,Cost_for_Two,URL
Mathura,Taj Hotel,N/A,4.0,₹400 for two,https://www.zomato.com/mathura/taj-hotel-mathura-locality/info
Mathura,Basera Khel Gaon,N/A,-,₹200 for two,https://www.zomato.com/mathura/basera-khel-gaon-mathura-locality/info
Mathura,Kanhiya Bhojnalya,N/A,-,₹300 for two,https://www.zomato.com/mathura/kanhiya-bhojnalya-mathura-locality/info
Mathura,MADHAVAM,"North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages",3.4,₹250 for two,https://www.zomato.com/mathura/madhavam-2-mathura-locality/info
Mathura,Fat Tiger Multicuisine Restaurant,N/A,-,₹350 for two,https://www.zomato.com/mathura/fat-tiger-multicuisine-restaurant-mathura-locality/info
Mathura,Punjabi Rasoi Chicken Corner - NH 2,"Mughlai, North Indian",3.2,₹300 for two,https://www.zomato.com/mathura/punjabi-rasoi-chicken-corner-nh-2-mathura-locality/info
Mathura,Hashim Chicken Biryani Wale,N/A,3.1,₹200 for two,https://www.zomato.com/mathura/hashim-chicken-biryani-wale-mathura-locality/info
Mathura,Kerala Coffee House,"South Indian, Fast Food, North Indian",3.9,₹200 for two,https://www.zomato.com/mathura/kerala-coffee-house-mathura-locality/info
Mathura,Burger Budds,"Burger, Sandwich, Pizza, Wraps, Fast Food, Shake, Beverages",4.2,₹400 for two,https://www.zomato.com/mathura/burger-budds-mathura-locality/info
Mathura,Gola Paties & Confectionery,N/A,3.6,₹250 for two,https://www.zomato.com/mathura/gola-paties-confectionery-1-mathura-locality/info
Mathura,Winni Cakes & More,"Bakery, Desserts, Pizza, Sandwich, Wraps, Pasta, Waffle, Beverages",3.4,₹500 for two,https://www.zomato.com/mathura/winni-cakes-more-mathura-locality/info
Mathura,Y & Y Veg Grill,"North Indian, Chinese, Momos, Fast Food",3.3,₹300 for two,https://www.zomato.com/mathura/y-y-veg-grill-mathura-locality/info
Mathura,Radhika Sweets,"Mithai, Fast Food",3.6,₹200 for two,https://www.zomato.com/mathura/radhika-sweets-1-mathura-locality/info
Mathura,Thaliwala,"North Indian, Sandwich",-,₹350 for two,https://www.zomato.com/mathura/thaliwala-mathura-locality/info
Mathura,Chakhna,"Street Food, Momos, Fast Food",4.1,₹250 for two,https://www.zomato.com/mathura/chakhna-mathura-locality/info
Mathura,Moti Mahal Delux,"Mughlai, North Indian, Continental, Chinese, Biryani",3.9,₹600 for two,https://www.zomato.com/mathura/moti-mahal-delux-mathura-locality/info
Mathura,Hotel Abhinandan,"North Indian, Mughlai",3.9,₹400 for two,https://www.zomato.com/mathura/hotel-abhinandan-3-mathura-locality/info
Mathura,Taj Hotel,"North Indian, Biryani",-,₹200 for two,https://www.zomato.com/mathura/taj-hotel-1-mathura-locality/info
Mathura,Shankar N Modi Bakers Zone,"Bakery, Chinese, Continental, Burger, Sandwich, Fast Food, Shake",4.2,₹400 for two,https://www.zomato.com/mathura/shankar-n-modi-bakers-zone-1-mathura-locality/info
Mathura,BMAC By Kasey,"Cafe, Fast Food, Bakery, Desserts, Beverages",3.5,₹500 for two,https://www.zomato.com/mathura/bmac-by-kasey-mathura-locality/info
Mathura,Kcr Sainik Restaurant,"North Indian, South Indian",3.9,₹250 for two,https://www.zomato.com/mathura/kcr-sainik-restaurant-2-mathura-locality/info
Mathura,MunchBox,"Chinese, North Indian",3.9,₹300 for two,https://www.zomato.com/mathura/munchbox-2-mathura-locality/info
Mathura,Rahul Petiz Corner,N/A,2.9,₹150 for two,https://www.zomato.com/mathura/rahul-petiz-corner-mathura-locality/info
Mathura,Hotel Sheetal Regency,"North Indian, Chinese, Beverages, Desserts",3.7,"₹1,000 for two",https://www.zomato.com/mathura/hotel-sheetal-regency-mathura-locality/info
Mathura,Punjabi Rasoi Since 2001,N/A,3.9,₹300 for two,https://www.zomato.com/mathura/punjabi-rasoi-since-2001-1-mathura-locality/info
Mathura,Pizza House,"Burger, Sandwich, Fast Food, Street Food, Pizza",3.7,₹350 for two,https://www.zomato.com/mathura/pizza-house-6-mathura-locality/info
Mathura,New Punjabi Rasoi Chicken Corner,"Charcoal Chicken, North Indian, Mughlai",-,₹400 for two,https://www.zomato.com/mathura/new-punjabi-rasoi-chicken-corner-mathura-locality/info
Mathura,Manhar Family Bhojnalaya,N/A,3.9,₹650 for two,https://www.zomato.com/mathura/manhar-family-bhojnalaya-mathura-locality/info
Mathura,Golden Spoon Cafe,"Pizza, Momos, Fast Food, Pasta, Chinese, Street Food, Shake, Beverages",-,₹450 for two,https://www.zomato.com/mathura/golden-spoon-cafe-mathura-locality/info
Mathura,Hotel Guru Kripa Grand,"North Indian, Burger, Chinese, Fast Food, Desserts, Beverages",-,"₹1,000 for two",https://www.zomato.com/mathura/hotel-guru-kripa-grand-mathura-locality/info
Mathura,Mayur Cafe,"Cafe, Coffee, Pizza, Pasta, Fast Food, Sandwich, Desserts, Beverages",3.9,₹600 for two,https://www.zomato.com/mathura/mayur-cafe-mathura-locality/info
Mathura,United Canteen,"South Indian, North Indian, Beverages, Chinese, Street Food, Desserts",3.7,₹350 for two,https://www.zomato.com/mathura/united-canteen-mathura-locality/info
Mathura,The Pizzeria Hub,"Pizza, Fast Food, Chinese, Beverages",3.6,₹500 for two,https://www.zomato.com/mathura/the-pizzeria-hub-mathura-locality/info
Mathura,The Taj Family Restaurant,"North Indian, Mughlai",-,₹600 for two,https://www.zomato.com/mathura/the-taj-family-restaurant-mathura-locality/info
Mathura,Jai Shree Restaurant,N/A,3.9,₹250 for two,https://www.zomato.com/mathura/jai-shree-restaurant-1-mathura-locality/info
Mathura,Cafe BLU,"Burger, Fast Food, Beverages, Cafe",4.3,₹250 for two,https://www.zomato.com/mathura/cafe-blu-mathura-locality/info
Mathura,Craving King,"North Indian, South Indian, Chinese, Fast Food, Momos, Beverages, Continental, Desserts",4.1,₹750 for two,https://www.zomato.com/mathura/craving-king-mathura-locality/info
Mathura,Aahar Family Restaurant,"North Indian, Chinese, Street Food, Beverages",-,₹400 for two,https://www.zomato.com/mathura/aahar-family-restaurant-1-mathura-locality/info
Mathura,Barista Coffee,"Cafe, Coffee, Beverages, Fast Food",3.2,₹500 for two,https://www.zomato.com/mathura/barista-coffee-mathura-locality/info
Mathura,Titu Gola Veg Biryani,"North Indian, Street Food, Chinese, Biryani",3.9,₹200 for two,https://www.zomato.com/mathura/titu-gola-veg-biryani-mathura-locality/info
Mathura,The Hideout Cafe,"North Indian, South Indian, Pizza, Fast Food, Momos, Street Food, Chinese, Shake",3.4,₹350 for two,https://www.zomato.com/mathura/the-hideout-cafe-1-mathura-locality/info
Mathura,Urban Sky - Rooftop Cafe & Bar,"Mediterranean, Thai, Mexican, Chinese, Italian, Beverages",2.9,₹600 for two,https://www.zomato.com/mathura/urban-sky-rooftop-cafe-bar-mathura-locality/info
Mathura,Punjabi Tadka,"North Indian, Mughlai",3.9,₹500 for two,https://www.zomato.com/mathura/punjabi-tadka-mathura-locality/info
Mathura,October Shakes & Snacks,"Burger, Pizza, Fast Food, Sandwich, Wraps, Shake, Tea, Beverages",3.8,₹400 for two,https://www.zomato.com/mathura/october-shakes-snacks-1-mathura-locality/info
Mathura,Brijwasi Bakers,"Bakery, Fast Food",3.9,₹300 for two,https://www.zomato.com/mathura/brijwasi-bakers-mathura-locality/info
Mathura,Retro Cafe,"Momos, Chinese, Wraps, Sandwich, Fast Food, Street Food",3.8,₹400 for two,https://www.zomato.com/mathura/retro-cafe-2-mathura-locality/info
